The site collects your contact information for an unspecified purpose. Collection happens in the mobile app.,,,,,
The site collects your unspecified information for personalization or customization. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings for the collection of your information.,,,,,
The site collects your user profile for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.,,,,,
An unnamed third party does receive your IP address or device IDs for a basic service or feature. You can opt in for data collection for the collection or sharing of your information.,,,,,
An unnamed third party does receive your location information for service operations or security.,,,,,
An unspecified third party does receive unspecified information about you for an unspecified purpose. The identifiability of the data is not covered by our label scheme.,,,,,
The site collects your contact information for a basic service or feature. Collection happens on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.,,,,
An unnamed third party does collect on the first party website or app your activities on the website or app for targeted advertising.,,,,,
The site does not collect your generic personal information for advertising. Collection happens by a named service or third party, and your data is aggregated or anonymized.,,,,
Other users does see your unspecified personal information for an additional (non-basic) service or feature.,,,,,
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,,,,,
The site collects your survey data for personalization or customization. Collection happens by some means outside of our label scheme for users with accounts. You can choose not to use the service or feature.,,,,,
The public does do something outside of our label scheme with your unspecified personal information for an additional (non-basic) service or feature.,,,,,
The site collects your computer information for personalization or customization. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the collection of your information.,,,,
A named third party does receive unspecified information about you for legal requirements. The data is aggregated or anonymized.,,,,,
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an additional (non-basic) service or feature.,,,,,
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.,,,,
An unnamed third party does collect on the first party website or app your IP address or device IDs for analytics or research. The data is aggregated or anonymized.,,,,,
You can opt out (via a link) from the use of information of a type not covered by our label scheme by the site, which collects it for marketing purposes.,,,,
The site collects your unspecified information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way.,,,,,
A named third party does receive your IP address or device IDs for service operations or security.,,,,,
The site collects your generic personal information for service operations or security. Collection happens when you implicitly provide information on the website, and your data is identifiable.,,,,
A named third party does not receive unspecified information about you for targeted advertising.,,,,,
The site collects your financial information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is identifiable.,,,,
An unnamed third party does track on the first party website or app your cookies or tracking elements for a basic service or feature. The data is personally identifiable. You can configure your privacy with third-party user settings.,,,,,
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information by other parts of the company or affiliates for users with accounts.,,,,,
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.,,,,
A user with an account can opt in for the use of user profile by the site, which collects it for a basic service or feature.,,,,
Another part of the company or institution does see your unspecified personal information for analytics or research. The data is personally identifiable.,,,,,
A named third party does receive your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized. You can opt out using the provided link for the collection or sharing and use of your information.,,,,,
A named third party does not collect on the first party website or app your unspecified personal information for marketing purposes. You can make a choice about the use of your information.,,,,,
A user's unique personal identifier is retained for a stated period of time to fulfill an unspecified purpose.,,,,,
You can opt in for the use of information of a type not covered by our label scheme by a third party, which collects or receives it for an unspecified purpose.,,,,
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way. You can make a choice about the use of your information.,,,,,
A named third party does collect on the first party website or app your cookies or tracking elements for a basic service or feature.,,,,,
The site collects your IP address or device IDs for a basic service or feature. Collection happens when you implicitly provide information on the website, and your data is identifiable.,,,,
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection.,,,,
The site collects your IP address or device IDs for analytics or research. Collection happens in the mobile app.,,,,,
The site collects your location information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.,,,,
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you explicitly provide information by some means outside of our label scheme. You can configure your privacy with browser settings for the collection of your information.,,,,,
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website for a user type outside of our label scheme.,,,,,
An unspecified third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable. You can opt out using the provided link.,,,,,
A named third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,,,,,
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the use of your information.,,,,,
